component_name,correlation_r,abs_correlation,p_value
cas_alt_vs_current_layer_per_head_layer_17_head_2,-0.15581,0.15581,0.00220
cas_alt_vs_current_layer_per_head_layer_28_head_21,-0.15578,0.15578,0.00220
cas_vs_current_layer_per_head_layer_25_head_5,0.15575,0.15575,0.00221
cas_alt_vs_current_layer_per_head_layer_22_head_22,-0.15574,0.15574,0.00221
ecs_prompt_specific_layer_per_head_layer_13_head_7,0.15572,0.15572,0.00221
cas_vs_current_layer_per_head_layer_4_head_8,-0.15567,0.15567,0.00222
cas_alt_vs_current_layer_per_head_layer_28_head_2,-0.15562,0.15562,0.00223
ecs_prompt_specific_layer_per_head_layer_11_head_23,0.15549,0.15549,0.00225
ecs_prompt_specific_layer_per_head_layer_14_head_15,0.15549,0.15549,0.00225
ecs_prompt_specific_layer_per_head_layer_28_head_18,0.15542,0.15542,0.00226
bos_attention_proportion_per_head_layer_11_head_0,0.15525,0.15525,0.00228
ecs_prompt_specific_layer_per_head_layer_25_head_7,0.15517,0.15517,0.00229
x_pre_ffn_norm_per_layer_layer_15,0.15513,0.15513,0.00230
cas_alt_vs_current_layer_per_head_layer_20_head_13,-0.15513,0.15513,0.00230
ecs_prompt_specific_layer_per_head_layer_30_head_15,0.15508,0.15508,0.00231
cas_alt_vs_current_layer_per_head_layer_19_head_30,-0.15502,0.15502,0.00232
ecs_prompt_specific_layer_per_head_layer_30_head_24,0.15500,0.15500,0.00232
ecs_specific_layer_per_head_layer_25_head_6,0.15495,0.15495,0.00233
ecs_specific_layer_per_head_layer_30_head_25,0.15485,0.15485,0.00234
ecs_specific_layer_per_head_layer_30_head_27,0.15479,0.15479,0.00235
cos_sim_pre_post_ffn_per_layer_layer_10,0.15477,0.15477,0.00236
cas_alt_vs_current_layer_per_head_layer_23_head_8,-0.15471,0.15471,0.00236
cas_alt_vs_current_layer_per_head_layer_17_head_13,-0.15469,0.15469,0.00237
ecs_prompt_specific_layer_per_head_layer_28_head_8,0.15456,0.15456,0.00239
ecs_prompt_specific_layer_per_head_layer_25_head_1,0.15450,0.15450,0.00240
ecs_specific_layer_per_head_layer_28_head_18,0.15442,0.15442,0.00241
cas_vs_final_layer_per_head_layer_0_head_5,0.15440,0.15440,0.00241
bos_attention_proportion_per_head_layer_10_head_10,0.15428,0.15428,0.00243
cas_vs_current_layer_per_head_layer_14_head_13,0.15418,0.15418,0.00245
bos_attention_proportion_per_head_layer_27_head_5,-0.15417,0.15417,0.00245
cas_alt_vs_current_layer_per_head_layer_20_head_18,-0.15415,0.15415,0.00245
ecs_specific_layer_per_head_layer_30_head_3,0.15415,0.15415,0.00245
ecs_specific_layer_per_head_layer_4_head_21,-0.15398,0.15398,0.00248
bos_attention_proportion_per_head_layer_16_head_16,0.15397,0.15397,0.00248
cas_vs_current_layer_per_head_layer_13_head_25,0.15396,0.15396,0.00248
cos_sim_input_pre_ffn_per_layer_layer_7,0.15396,0.15396,0.00248
cas_alt_vs_current_layer_per_head_layer_28_head_31,-0.15395,0.15395,0.00249
cas_alt_vs_current_layer_per_head_layer_19_head_10,-0.15390,0.15390,0.00250
bos_attention_proportion_per_head_layer_29_head_26,-0.15385,0.15385,0.00250
ecs_specific_layer_per_head_layer_30_head_20,0.15377,0.15377,0.00252
cos_sim_input_post_ffn_per_layer_layer_29,0.15375,0.15375,0.00252
cas_vs_current_layer_per_head_layer_30_head_0,0.15373,0.15373,0.00252
cas_alt_vs_current_layer_per_head_layer_19_head_1,-0.15360,0.15360,0.00254
ecs_prompt_specific_layer_per_head_layer_11_head_25,0.15345,0.15345,0.00257
cas_alt_vs_current_layer_per_head_layer_17_head_31,-0.15339,0.15339,0.00258
cas_alt_vs_current_layer_per_head_layer_28_head_18,-0.15329,0.15329,0.00260
cas_alt_vs_current_layer_per_head_layer_19_head_11,-0.15321,0.15321,0.00261
bos_attention_proportion_per_head_layer_31_head_23,0.15308,0.15308,0.00263
cas_vs_current_layer_per_head_layer_27_head_24,0.15287,0.15287,0.00267
cas_vs_current_layer_per_head_layer_23_head_22,0.15286,0.15286,0.00267
cas_alt_vs_current_layer_per_head_layer_27_head_4,-0.15260,0.15260,0.00272
cas_vs_current_layer_per_head_layer_14_head_8,0.15256,0.15256,0.00272
ecs_specific_layer_per_head_layer_25_head_0,0.15254,0.15254,0.00273
bos_attention_proportion_per_head_layer_7_head_21,-0.15253,0.15253,0.00273
ecs_prompt_specific_layer_per_head_layer_14_head_26,0.15244,0.15244,0.00274
cas_vs_current_layer_per_head_layer_27_head_0,0.15232,0.15232,0.00277
cas_vs_current_layer_per_head_layer_30_head_24,0.15230,0.15230,0.00277
cas_alt_vs_current_layer_per_head_layer_20_head_2,-0.15229,0.15229,0.00277
ecs_specific_layer_per_head_layer_25_head_10,0.15226,0.15226,0.00278
ecs_prompt_specific_layer_per_head_layer_14_head_14,0.15222,0.15222,0.00278
ecs_specific_layer_per_head_layer_30_head_24,0.15215,0.15215,0.00280
cas_alt_vs_current_layer_per_head_layer_17_head_29,-0.15211,0.15211,0.00280
cas_alt_vs_current_layer_per_head_layer_27_head_28,-0.15201,0.15201,0.00282
cas_alt_vs_current_layer_per_head_layer_22_head_9,-0.15199,0.15199,0.00283
ecs_prompt_specific_layer_per_head_layer_25_head_16,0.15193,0.15193,0.00284
cas_vs_current_layer_per_head_layer_19_head_2,0.15184,0.15184,0.00285
cas_alt_vs_current_layer_per_head_layer_29_head_31,-0.15183,0.15183,0.00286
ecs_prompt_specific_layer_per_head_layer_19_head_14,0.15179,0.15179,0.00286
ecs_specific_layer_per_head_layer_30_head_18,0.15176,0.15176,0.00287
cas_vs_current_layer_per_head_layer_20_head_20,0.15176,0.15176,0.00287
bos_attention_proportion_per_head_layer_30_head_25,0.15165,0.15165,0.00289
bos_attention_proportion_per_head_layer_3_head_12,0.15147,0.15147,0.00292
cas_alt_vs_current_layer_per_head_layer_17_head_27,-0.15138,0.15138,0.00294
cas_alt_vs_current_layer_per_head_layer_21_head_24,-0.15131,0.15131,0.00295
ecs_prompt_specific_layer_per_head_layer_11_head_26,0.15126,0.15126,0.00296
cas_vs_final_layer_per_head_layer_0_head_12,0.15126,0.15126,0.00296
cas_vs_current_layer_per_head_layer_13_head_17,0.15107,0.15107,0.00300
cas_vs_current_layer_per_head_layer_3_head_20,-0.15088,0.15088,0.00304
bos_attention_proportion_per_head_layer_27_head_19,-0.15072,0.15072,0.00307
cas_vs_current_layer_per_head_layer_14_head_21,0.15071,0.15071,0.00307
cas_alt_vs_current_layer_per_head_layer_17_head_14,-0.15063,0.15063,0.00309
ecs_prompt_specific_layer_per_head_layer_19_head_12,0.15061,0.15061,0.00309
attention_entropy_per_head_layer_1_head_12,-0.15056,0.15056,0.00310
cas_vs_current_layer_per_head_layer_20_head_26,0.15047,0.15047,0.00312
cas_alt_vs_current_layer_per_head_layer_20_head_17,-0.15046,0.15046,0.00312
ecs_prompt_specific_layer_per_head_layer_25_head_18,0.15036,0.15036,0.00314
cas_alt_vs_current_layer_per_head_layer_22_head_24,-0.15035,0.15035,0.00314
cas_vs_final_layer_per_head_layer_0_head_28,0.15032,0.15032,0.00315
ecs_specific_layer_per_head_layer_20_head_23,0.15020,0.15020,0.00317
ecs_prompt_specific_layer_per_head_layer_28_head_11,0.15017,0.15017,0.00318
bos_attention_proportion_per_head_layer_25_head_5,0.15008,0.15008,0.00320
ecs_specific_layer_per_head_layer_19_head_20,0.15002,0.15002,0.00321
ecs_specific_layer_per_head_layer_19_head_7,0.15001,0.15001,0.00321
cas_vs_current_layer_per_head_layer_30_head_29,0.14999,0.14999,0.00322
bos_attention_proportion_per_head_layer_10_head_7,-0.14998,0.14998,0.00322
cos_sim_input_post_ffn_per_layer_layer_12,0.14998,0.14998,0.00322
bos_attention_proportion_per_head_layer_20_head_23,0.14994,0.14994,0.00323
ecs_specific_layer_per_head_layer_19_head_22,0.14984,0.14984,0.00325
attention_entropy_per_head_layer_17_head_16,-0.14981,0.14981,0.00325
cas_vs_current_layer_per_head_layer_13_head_29,0.14979,0.14979,0.00326
cas_vs_final_layer_per_head_layer_0_head_13,0.14977,0.14977,0.00326
cas_vs_current_layer_per_head_layer_27_head_5,0.14972,0.14972,0.00327
bos_attention_proportion_per_head_layer_1_head_28,0.14971,0.14971,0.00328
cas_vs_current_layer_per_head_layer_14_head_27,0.14959,0.14959,0.00330
ecs_specific_layer_per_head_layer_30_head_17,0.14952,0.14952,0.00331
cas_alt_vs_current_layer_per_head_layer_28_head_29,-0.14951,0.14951,0.00332
cas_vs_current_layer_per_head_layer_27_head_6,0.14945,0.14945,0.00333
cas_alt_vs_current_layer_per_head_layer_19_head_8,-0.14941,0.14941,0.00334
cas_alt_vs_current_layer_per_head_layer_22_head_14,-0.14936,0.14936,0.00335
cas_vs_current_layer_per_head_layer_20_head_12,0.14933,0.14933,0.00336
cas_vs_current_layer_per_head_layer_3_head_28,-0.14932,0.14932,0.00336
ecs_prompt_specific_layer_per_head_layer_13_head_31,0.14929,0.14929,0.00336
v_attn_norm_per_layer_layer_28,0.14925,0.14925,0.00337
ecs_specific_layer_per_head_layer_30_head_16,0.14921,0.14921,0.00338
bos_attention_proportion_per_head_layer_10_head_23,0.14921,0.14921,0.00338
ecs_prompt_specific_layer_per_head_layer_25_head_12,0.14914,0.14914,0.00340
cas_vs_current_layer_per_head_layer_26_head_3,0.14910,0.14910,0.00340
cas_vs_current_layer_per_head_layer_29_head_19,0.14907,0.14907,0.00341
bos_attention_proportion_per_head_layer_15_head_5,0.14907,0.14907,0.00341
bos_attention_proportion_per_head_layer_31_head_27,-0.14906,0.14906,0.00341
ecs_prompt_specific_layer_per_head_layer_13_head_27,0.14906,0.14906,0.00341
ecs_specific_layer_per_head_layer_25_head_2,0.14905,0.14905,0.00342
cas_vs_current_layer_per_head_layer_13_head_18,0.14899,0.14899,0.00343
cas_vs_current_layer_per_head_layer_30_head_26,0.14896,0.14896,0.00343
ecs_specific_layer_per_head_layer_20_head_30,0.14873,0.14873,0.00349
cas_vs_current_layer_per_head_layer_21_head_10,0.14871,0.14871,0.00349
bos_attention_proportion_per_head_layer_27_head_27,-0.14861,0.14861,0.00351
bos_attention_proportion_per_head_layer_17_head_22,0.14860,0.14860,0.00351
ecs_specific_layer_per_head_layer_25_head_14,0.14857,0.14857,0.00352
attention_entropy_per_head_layer_0_head_22,0.14847,0.14847,0.00354
ecs_prompt_specific_layer_per_head_layer_30_head_3,0.14839,0.14839,0.00356
cas_alt_vs_current_layer_per_head_layer_20_head_9,-0.14837,0.14837,0.00357
pos_score_per_layer_layer_16,0.14835,0.14835,0.00357
pos_cos_similarity_per_layer_layer_16,0.14835,0.14835,0.00357
bos_attention_proportion_per_head_layer_24_head_8,-0.14835,0.14835,0.00357
cas_alt_vs_current_layer_per_head_layer_21_head_10,-0.14829,0.14829,0.00359
ecs_specific_layer_per_head_layer_30_head_22,0.14825,0.14825,0.00359
ecs_prompt_specific_layer_per_head_layer_30_head_12,0.14818,0.14818,0.00361
cas_vs_current_layer_per_head_layer_13_head_3,0.14805,0.14805,0.00364
ecs_prompt_specific_layer_per_head_layer_25_head_9,0.14804,0.14804,0.00364
cas_alt_vs_current_layer_per_head_layer_22_head_29,-0.14801,0.14801,0.00365
cas_vs_current_layer_per_head_layer_1_head_5,-0.14801,0.14801,0.00365
cas_alt_vs_current_layer_per_head_layer_27_head_24,-0.14800,0.14800,0.00365
cas_alt_vs_current_layer_per_head_layer_25_head_0,-0.14791,0.14791,0.00367
cas_alt_vs_current_layer_per_head_layer_20_head_25,-0.14784,0.14784,0.00369
cas_alt_vs_current_layer_per_head_layer_25_head_17,-0.14773,0.14773,0.00372
ecs_prompt_specific_layer_per_head_layer_25_head_17,0.14768,0.14768,0.00373
cas_alt_vs_current_layer_per_head_layer_23_head_5,-0.14764,0.14764,0.00374
ecs_specific_layer_per_head_layer_25_head_26,0.14757,0.14757,0.00375
ecs_prompt_specific_layer_per_head_layer_11_head_28,0.14752,0.14752,0.00377
cas_vs_current_layer_per_head_layer_29_head_22,0.14751,0.14751,0.00377
cas_alt_vs_current_layer_per_head_layer_20_head_26,-0.14750,0.14750,0.00377
cas_vs_current_layer_per_head_layer_14_head_15,0.14746,0.14746,0.00378
cas_alt_vs_current_layer_per_head_layer_28_head_11,-0.14743,0.14743,0.00379
cas_alt_vs_current_layer_per_head_layer_21_head_0,-0.14728,0.14728,0.00382
bos_attention_proportion_per_head_layer_3_head_27,-0.14723,0.14723,0.00383
ecs_prompt_specific_layer_per_head_layer_30_head_22,0.14718,0.14718,0.00385
bos_attention_proportion_per_head_layer_26_head_10,-0.14714,0.14714,0.00386
bos_attention_proportion_per_head_layer_25_head_31,-0.14712,0.14712,0.00386
cas_vs_current_layer_per_head_layer_4_head_21,-0.14705,0.14705,0.00388
cas_vs_current_layer_per_head_layer_3_head_29,-0.14705,0.14705,0.00388
ecs_specific_layer_per_head_layer_21_head_0,0.14693,0.14693,0.00391
ecs_prompt_specific_layer_per_head_layer_30_head_5,0.14689,0.14689,0.00392
cas_alt_vs_current_layer_per_head_layer_22_head_25,-0.14667,0.14667,0.00397
attention_entropy_per_head_layer_0_head_13,0.14661,0.14661,0.00399
cas_vs_current_layer_per_head_layer_22_head_2,0.14650,0.14650,0.00402
ecs_specific_layer_per_head_layer_25_head_18,0.14649,0.14649,0.00402
cas_alt_vs_current_layer_per_head_layer_22_head_15,-0.14641,0.14641,0.00404
ecs_prompt_specific_layer_per_head_layer_11_head_30,0.14635,0.14635,0.00405
ecs_specific_layer_per_head_layer_30_head_12,0.14632,0.14632,0.00406
ecs_prompt_specific_layer_per_head_layer_25_head_4,0.14627,0.14627,0.00407
ecs_specific_layer_per_head_layer_13_head_26,0.14626,0.14626,0.00408
cas_vs_current_layer_per_head_layer_14_head_24,0.14621,0.14621,0.00409
ecs_specific_layer_per_head_layer_20_head_20,0.14620,0.14620,0.00409
cos_sim_pre_post_ffn_per_layer_layer_31,-0.14614,0.14614,0.00411
cas_alt_vs_current_layer_per_head_layer_27_head_16,-0.14602,0.14602,0.00414
cas_alt_vs_current_layer_per_head_layer_18_head_17,-0.14602,0.14602,0.00414
ecs_specific_layer_per_head_layer_14_head_4,0.14594,0.14594,0.00416
ecs_specific_layer_per_head_layer_19_head_14,0.14591,0.14591,0.00417
ecs_specific_layer_per_head_layer_13_head_12,0.14591,0.14591,0.00417
ecs_prompt_specific_layer_per_head_layer_19_head_30,0.14587,0.14587,0.00418
ecs_prompt_specific_layer_per_head_layer_14_head_6,0.14584,0.14584,0.00419
cas_alt_vs_current_layer_per_head_layer_23_head_20,-0.14579,0.14579,0.00420
cas_alt_vs_current_layer_per_head_layer_22_head_4,-0.14562,0.14562,0.00424
ecs_specific_layer_per_head_layer_13_head_2,0.14559,0.14559,0.00425
pos_score_per_layer_layer_14,0.14546,0.14546,0.00429
pos_cos_similarity_per_layer_layer_14,0.14546,0.14546,0.00429
ecs_specific_layer_per_head_layer_25_head_4,0.14543,0.14543,0.00429
cas_vs_current_layer_per_head_layer_20_head_0,0.14541,0.14541,0.00430
ecs_prompt_specific_layer_per_head_layer_14_head_1,0.14534,0.14534,0.00432
cas_vs_current_layer_per_head_layer_25_head_6,0.14528,0.14528,0.00433
ecs_specific_layer_per_head_layer_21_head_28,0.14524,0.14524,0.00435
cas_vs_current_layer_per_head_layer_21_head_1,0.14521,0.14521,0.00435
cas_alt_vs_current_layer_per_head_layer_24_head_12,-0.14520,0.14520,0.00436
cas_alt_vs_current_layer_per_head_layer_22_head_23,-0.14503,0.14503,0.00440
ecs_specific_layer_per_head_layer_20_head_12,0.14503,0.14503,0.00440
bos_attention_proportion_per_head_layer_8_head_12,0.14498,0.14498,0.00442
ecs_specific_layer_per_head_layer_13_head_4,0.14496,0.14496,0.00442
cas_alt_vs_current_layer_per_head_layer_23_head_22,-0.14496,0.14496,0.00442
cas_alt_vs_current_layer_per_head_layer_19_head_13,-0.14494,0.14494,0.00443
attention_entropy_per_head_layer_5_head_7,-0.14489,0.14489,0.00444
ecs_specific_layer_per_head_layer_20_head_17,0.14486,0.14486,0.00445
cas_vs_current_layer_per_head_layer_26_head_17,0.14481,0.14481,0.00446
cas_alt_vs_current_layer_per_head_layer_27_head_17,-0.14481,0.14481,0.00446
ecs_specific_layer_per_head_layer_12_head_19,0.14473,0.14473,0.00449
bos_attention_proportion_per_head_layer_21_head_1,-0.14466,0.14466,0.00450
cas_vs_final_layer_per_head_layer_0_head_14,0.14463,0.14463,0.00451
ecs_prompt_specific_layer_per_head_layer_30_head_25,0.14461,0.14461,0.00452
cas_vs_current_layer_per_head_layer_20_head_1,0.14459,0.14459,0.00452
ecs_specific_layer_per_head_layer_19_head_17,0.14458,0.14458,0.00453
cas_vs_current_layer_per_head_layer_3_head_22,-0.14452,0.14452,0.00454
bos_attention_proportion_per_head_layer_10_head_29,0.14447,0.14447,0.00456
ecs_prompt_specific_layer_per_head_layer_30_head_8,0.14442,0.14442,0.00457
cos_sim_input_post_ffn_per_layer_layer_7,0.14440,0.14440,0.00458
cas_alt_vs_current_layer_per_head_layer_22_head_26,-0.14439,0.14439,0.00458
cas_vs_current_layer_per_head_layer_23_head_29,0.14439,0.14439,0.00458
cas_vs_current_layer_per_head_layer_28_head_23,0.14432,0.14432,0.00460
ecs_prompt_specific_layer_per_head_layer_30_head_26,0.14430,0.14430,0.00461
pos_score_per_layer_layer_31,-0.14408,0.14408,0.00467
pos_cos_similarity_per_layer_layer_31,-0.14408,0.14408,0.00467
cas_alt_vs_current_layer_per_head_layer_19_head_23,-0.14407,0.14407,0.00467
cas_vs_current_layer_per_head_layer_3_head_31,-0.14405,0.14405,0.00468
ecs_prompt_specific_layer_per_head_layer_30_head_6,0.14402,0.14402,0.00469
ecs_prompt_specific_layer_per_head_layer_22_head_16,0.14401,0.14401,0.00469
ecs_specific_layer_per_head_layer_19_head_15,0.14400,0.14400,0.00469
ecs_specific_layer_per_head_layer_30_head_15,0.14389,0.14389,0.00473
cas_alt_vs_current_layer_per_head_layer_20_head_0,-0.14389,0.14389,0.00473
bos_attention_proportion_per_head_layer_1_head_22,0.14383,0.14383,0.00474
cas_alt_vs_current_layer_per_head_layer_23_head_10,-0.14383,0.14383,0.00474
ecs_prompt_specific_layer_per_head_layer_25_head_2,0.14383,0.14383,0.00474
bos_attention_proportion_per_head_layer_9_head_25,-0.14381,0.14381,0.00475
cas_alt_vs_current_layer_per_head_layer_23_head_13,-0.14374,0.14374,0.00477
bos_attention_proportion_per_head_layer_15_head_21,0.14369,0.14369,0.00479
ecs_prompt_specific_layer_per_head_layer_25_head_0,0.14368,0.14368,0.00479
ecs_prompt_specific_layer_per_head_layer_21_head_0,0.14358,0.14358,0.00482
bos_attention_proportion_per_head_layer_20_head_24,0.14355,0.14355,0.00482
ecs_specific_layer_per_head_layer_30_head_8,0.14342,0.14342,0.00486
bos_attention_proportion_per_head_layer_20_head_0,0.14341,0.14341,0.00487
ecs_specific_layer_per_head_layer_20_head_18,0.14340,0.14340,0.00487
ecs_prompt_specific_layer_per_head_layer_25_head_10,0.14339,0.14339,0.00487
cas_alt_vs_current_layer_per_head_layer_29_head_16,-0.14336,0.14336,0.00488
ecs_prompt_specific_layer_per_head_layer_15_head_31,0.14331,0.14331,0.00490
cas_alt_vs_current_layer_per_head_layer_22_head_30,-0.14329,0.14329,0.00491
cas_vs_current_layer_per_head_layer_25_head_13,0.14324,0.14324,0.00492
ecs_specific_layer_per_head_layer_13_head_14,0.14307,0.14307,0.00497
ecs_prompt_specific_layer_per_head_layer_19_head_13,0.14307,0.14307,0.00497
ecs_specific_layer_per_head_layer_30_head_21,0.14306,0.14306,0.00498
ecs_specific_layer_per_head_layer_25_head_28,0.14305,0.14305,0.00498
ecs_prompt_specific_layer_per_head_layer_30_head_0,0.14294,0.14294,0.00501
ecs_specific_layer_per_head_layer_14_head_17,0.14291,0.14291,0.00502
ecs_specific_layer_per_head_layer_20_head_24,0.14277,0.14277,0.00506
ecs_specific_layer_per_head_layer_21_head_30,0.14277,0.14277,0.00506
ecs_specific_layer_per_head_layer_20_head_6,0.14271,0.14271,0.00508
cas_vs_current_layer_per_head_layer_3_head_21,-0.14267,0.14267,0.00509
bos_attention_proportion_per_head_layer_21_head_10,0.14266,0.14266,0.00510
bos_attention_proportion_per_head_layer_3_head_2,-0.14265,0.14265,0.00510
cas_alt_vs_current_layer_per_head_layer_20_head_24,-0.14263,0.14263,0.00511
ecs_prompt_specific_layer_per_head_layer_20_head_30,0.14262,0.14262,0.00511
cas_alt_vs_current_layer_per_head_layer_21_head_16,-0.14259,0.14259,0.00512
ecs_prompt_specific_layer_per_head_layer_20_head_18,0.14257,0.14257,0.00513
cas_alt_vs_current_layer_per_head_layer_29_head_20,-0.14247,0.14247,0.00516
cas_alt_vs_current_layer_per_head_layer_29_head_22,-0.14246,0.14246,0.00516
cas_alt_vs_current_layer_per_head_layer_27_head_27,-0.14244,0.14244,0.00517
attention_entropy_per_head_layer_0_head_14,0.14242,0.14242,0.00517
cas_alt_vs_current_layer_per_head_layer_18_head_31,-0.14231,0.14231,0.00521
ecs_specific_layer_per_head_layer_30_head_26,0.14229,0.14229,0.00522
bos_attention_proportion_per_head_layer_18_head_4,-0.14209,0.14209,0.00528
bos_attention_proportion_per_head_layer_2_head_29,0.14208,0.14208,0.00528
cas_alt_vs_current_layer_per_head_layer_21_head_18,-0.14206,0.14206,0.00529
cas_vs_current_layer_per_head_layer_23_head_14,0.14204,0.14204,0.00530
bos_attention_proportion_per_head_layer_29_head_29,0.14200,0.14200,0.00531
ecs_specific_layer_per_head_layer_19_head_13,0.14196,0.14196,0.00532
bos_attention_proportion_per_head_layer_24_head_6,-0.14194,0.14194,0.00533
ecs_prompt_specific_layer_per_head_layer_14_head_10,0.14191,0.14191,0.00534
bos_attention_proportion_per_head_layer_22_head_22,-0.14179,0.14179,0.00538
ecs_prompt_specific_layer_per_head_layer_21_head_31,0.14174,0.14174,0.00539
bos_attention_proportion_per_head_layer_27_head_24,0.14174,0.14174,0.00539
cas_vs_current_layer_per_head_layer_22_head_14,0.14173,0.14173,0.00540
cos_sim_pre_post_ffn_per_layer_layer_8,0.14167,0.14167,0.00542
v_attn_norm_per_layer_layer_7,-0.14155,0.14155,0.00546
ecs_specific_layer_per_head_layer_14_head_19,0.14136,0.14136,0.00552
cas_alt_vs_current_layer_per_head_layer_20_head_12,-0.14135,0.14135,0.00553
cas_vs_current_layer_per_head_layer_23_head_20,0.14125,0.14125,0.00556
cas_vs_final_layer_per_head_layer_0_head_19,0.14123,0.14123,0.00556
bos_attention_proportion_per_head_layer_6_head_16,0.14119,0.14119,0.00558
bos_attention_proportion_per_head_layer_22_head_16,0.14119,0.14119,0.00558
cas_alt_vs_current_layer_per_head_layer_17_head_21,-0.14114,0.14114,0.00560
ecs_prompt_specific_layer_per_head_layer_25_head_27,0.14108,0.14108,0.00561
ecs_prompt_specific_layer_per_head_layer_30_head_7,0.14107,0.14107,0.00562
cas_vs_current_layer_per_head_layer_14_head_30,0.14096,0.14096,0.00566
ecs_prompt_specific_layer_per_head_layer_30_head_19,0.14090,0.14090,0.00568
cas_vs_current_layer_per_head_layer_13_head_8,0.14086,0.14086,0.00569
cas_alt_vs_current_layer_per_head_layer_20_head_31,-0.14079,0.14079,0.00571
ecs_specific_layer_per_head_layer_30_head_14,0.14062,0.14062,0.00577
cas_vs_current_layer_per_head_layer_19_head_24,0.14053,0.14053,0.00581
ecs_prompt_specific_layer_per_head_layer_25_head_3,0.14049,0.14049,0.00582
cas_alt_vs_current_layer_per_head_layer_21_head_19,-0.14047,0.14047,0.00583
cas_vs_current_layer_per_head_layer_26_head_5,0.14045,0.14045,0.00584
pos_score_per_layer_layer_20,0.14039,0.14039,0.00586
cas_alt_vs_current_layer_per_head_layer_28_head_15,-0.14033,0.14033,0.00588
cas_alt_vs_current_layer_per_head_layer_20_head_15,-0.14032,0.14032,0.00588
bos_attention_proportion_per_head_layer_16_head_17,0.14030,0.14030,0.00589
ecs_specific_layer_per_head_layer_20_head_4,0.14027,0.14027,0.00590
bos_attention_proportion_per_head_layer_8_head_16,0.14022,0.14022,0.00592
cas_alt_vs_current_layer_per_head_layer_22_head_19,-0.14015,0.14015,0.00594
bos_attention_proportion_per_head_layer_1_head_31,0.14010,0.14010,0.00596
ecs_prompt_specific_layer_per_head_layer_14_head_24,0.14006,0.14006,0.00597
cas_alt_vs_current_layer_per_head_layer_18_head_6,-0.14004,0.14004,0.00598
parameter_knowledge_difference_layer_12,-0.14003,0.14003,0.00599
pos_cos_similarity_per_layer_layer_20,0.14000,0.14000,0.00600
ecs_prompt_specific_layer_per_head_layer_19_head_4,0.13999,0.13999,0.00600
ecs_prompt_specific_layer_per_head_layer_11_head_27,0.13998,0.13998,0.00600
bos_attention_proportion_per_head_layer_16_head_18,0.13997,0.13997,0.00601
bos_attention_proportion_per_head_layer_5_head_17,0.13996,0.13996,0.00601
ecs_prompt_specific_layer_per_head_layer_13_head_29,0.13990,0.13990,0.00603
ecs_specific_layer_per_head_layer_19_head_6,0.13989,0.13989,0.00603
bos_attention_proportion_per_head_layer_13_head_7,-0.13988,0.13988,0.00604
ecs_specific_layer_per_head_layer_15_head_29,0.13986,0.13986,0.00605
bos_attention_proportion_per_head_layer_1_head_12,0.13973,0.13973,0.00609
cas_alt_vs_current_layer_per_head_layer_22_head_21,-0.13972,0.13972,0.00610
ecs_specific_layer_per_head_layer_25_head_17,0.13970,0.13970,0.00610
attention_entropy_per_head_layer_23_head_18,-0.13970,0.13970,0.00610
ecs_prompt_specific_layer_per_head_layer_25_head_19,0.13966,0.13966,0.00612
cas_alt_vs_current_layer_per_head_layer_26_head_24,-0.13961,0.13961,0.00614
bos_attention_proportion_per_head_layer_23_head_10,-0.13959,0.13959,0.00615
cas_vs_current_layer_per_head_layer_21_head_3,0.13950,0.13950,0.00618
bos_attention_proportion_per_head_layer_9_head_21,0.13942,0.13942,0.00621
ecs_prompt_specific_layer_per_head_layer_30_head_2,0.13941,0.13941,0.00621
ecs_specific_layer_per_head_layer_20_head_8,0.13933,0.13933,0.00624
cas_alt_vs_current_layer_per_head_layer_23_head_15,-0.13928,0.13928,0.00626
v_ffn_norm_per_layer_layer_25,-0.13927,0.13927,0.00627
bos_attention_proportion_per_head_layer_23_head_5,0.13920,0.13920,0.00629
bos_attention_proportion_per_head_layer_14_head_14,0.13919,0.13919,0.00629
x_post_ffn_norm_per_layer_layer_11,0.13916,0.13916,0.00631
x_input_norm_per_layer_layer_12,0.13916,0.13916,0.00631
ecs_specific_layer_per_head_layer_19_head_16,0.13904,0.13904,0.00635
ecs_specific_layer_per_head_layer_15_head_0,0.13894,0.13894,0.00639
ecs_specific_layer_per_head_layer_3_head_19,-0.13891,0.13891,0.00640
cas_alt_vs_current_layer_per_head_layer_20_head_5,-0.13887,0.13887,0.00642
ecs_specific_layer_per_head_layer_19_head_12,0.13885,0.13885,0.00643
cas_vs_current_layer_per_head_layer_20_head_22,0.13878,0.13878,0.00645
ecs_specific_layer_per_head_layer_13_head_27,0.13875,0.13875,0.00647
ecs_specific_layer_per_head_layer_15_head_3,0.13872,0.13872,0.00647
ecs_prompt_specific_layer_per_head_layer_25_head_30,0.13871,0.13871,0.00648
ecs_prompt_specific_layer_per_head_layer_25_head_29,0.13869,0.13869,0.00649
ecs_prompt_specific_layer_per_head_layer_25_head_20,0.13861,0.13861,0.00652
ecs_prompt_specific_layer_per_head_layer_25_head_23,0.13852,0.13852,0.00655
ecs_specific_layer_per_head_layer_13_head_17,0.13851,0.13851,0.00656
ecs_specific_layer_per_head_layer_13_head_24,0.13842,0.13842,0.00659
ecs_specific_layer_per_head_layer_23_head_1,0.13838,0.13838,0.00661
